month,year,Q25v2part2
06,13,2.40869565227109
07,13,2.20446503783789
08,13,3.28577165806167
09,13,3.43324485755394
10,13,2.8180446195663
11,13,2.87244829894345
12,13,3.52443609028158
01,14,3.08551829285556
02,14,3.95833979844122
03,14,3.78597842837083
04,14,4.04807098752555
05,14,3.86666666661017
06,14,4.83010085337471
07,14,3.68928833455613
08,14,4.31175584023216
09,14,4.66060138778128
10,14,4.51150038091626
11,14,4.12885958164399
12,14,5.06820312580094
01,15,4.57905718734865
02,15,4.70368663611866
03,15,4.42562893089258
04,15,5.09541864135254
05,15,4.75507936515505
